id,timestamp_utc,i_value
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 10:57:19.192,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 11:40:18.401,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 11:49:57.942,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 12:40:23.117,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 13:13:47.452,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 13:31:31.092,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 13:40:22.082,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 14:14:44.172,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 14:40:23.392,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 15:05:06.272,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 15:08:28.082,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 15:33:16.732,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 15:40:27.722,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 16:27:02.432,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 16:40:24.632,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 17:00:19.302,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 17:12:02.522,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 17:40:21.752,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 18:52:25.622,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 19:14:33.612,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 19:40:22.832,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 20:40:20.916,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 21:40:20.082,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 22:40:21.202,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-26 23:40:25.322,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 00:40:22.452,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 01:40:22.562,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 02:40:22.692,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 03:40:21.812,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 04:40:22.932,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 05:40:21.052,3060
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 05:43:06.012,3061
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 05:52:56.082,3062
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 06:40:21.162,3062
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 07:40:26.282,3062
FE:C7:A5:36:EF:E9:AB:36:20480:0,2022-10-27 08:26:59.552,3062
